X,Y,Z,start,end
124621.82203371273,127096.71093454013,-4540.330035489591,2020-12-28T00:11:22.861249000,2020-12-28T01:11:22.861249000
123102.6059104012,127403.38360743543,-6073.9112098806545,2020-12-28T01:11:22.861249000,2020-12-28T02:11:22.861249000
121469.88113479738,127594.07623205033,-7601.845122457356,2020-12-28T02:11:22.861249000,2020-12-28T03:11:22.861249000
119723.1920232202,127666.89407305249,-9122.597067670997,2020-12-28T03:11:22.861249000,2020-12-28T04:11:22.861249000
117861.92399619738,127619.71238899215,-10634.57668937498,2020-12-28T04:11:22.861249000,2020-12-28T05:11:22.861249000
115885.29165729978,127450.16399628279,-12136.111430191278,2020-12-28T05:11:22.861249000,2020-12-28T06:11:22.861249000
113792.33428803552,127155.61117860807,-13625.445743374863,2020-12-28T06:11:22.861249000,2020-12-28T07:11:22.861249000
111581.93624635825,126733.13422700981,-15100.71493192409,2020-12-28T07:11:22.861249000,2020-12-28T08:11:22.861249000
104896.88558135697,123344.99027272816,-17701.876385788466,2020-12-28T08:11:22.861249000,2020-12-28T09:11:22.861249000
106803.35751871338,125491.06001048067,-18000.991229185336,2020-12-28T09:11:22.861249000,2020-12-28T10:11:22.861249000
104231.96125603995,124663.87569097201,-19421.583523958416,2020-12-28T10:11:22.861249000,2020-12-28T11:11:22.861249000
101536.63182943915,123693.48476099293,-20819.23816981063,2020-12-28T11:11:22.861249000,2020-12-28T12:11:22.861249000
98715.19892518902,122574.96093991409,-22191.251431222998,2020-12-28T12:11:22.861249000,2020-12-28T13:11:22.861249000
95765.23102880667,121302.82280364759,-23534.64968488813,2020-12-28T13:11:22.861249000,2020-12-28T14:11:22.861249000
92684.00872424546,119870.94328315849,-24846.156691454245,2020-12-28T14:11:22.861249000,2020-12-28T15:11:22.861249000
89468.50275904017,118272.46654262781,-26122.13094479226,2020-12-28T15:11:22.861249000,2020-12-28T16:11:22.861249000
86115.36117503961,116499.70958244822,-27358.491409402184,2020-12-28T16:11:22.861249000,2020-12-28T17:11:22.861249000
82620.84534528267,114543.994629481,-28550.650013526378,2020-12-28T17:11:22.861249000,2020-12-28T18:11:22.861249000
78980.80271401409,112395.50487602543,-29693.388047055785,2020-12-28T18:11:22.861249000,2020-12-28T19:11:22.861249000
76476.69015742316,110858.48859791081,-30427.05606621796,2020-12-28T19:11:22.861249000,2020-12-28T19:31:14.096422000
54089.70037885355,94945.1437037349,-35063.8351843458,2020-12-29T00:32:40.000000000,2020-12-29T00:42:25.000000000
87537.79796667828,30373.272683014944,39669.41097785116,2020-12-29T23:08:30.000000000,2020-12-30T00:08:30.000000000
92801.75552651554,35149.166958452384,39592.752029224444,2020-12-30T00:08:30.000000000,2020-12-30T01:08:30.000000000
97434.07211447878,39550.90229406553,39347.862405351814,2020-12-30T01:08:30.000000000,2020-12-30T02:08:30.000000000
101716.76932023013,43801.69650194359,38958.74592031791,2020-12-30T02:08:30.000000000,2020-12-30T03:08:30.000000000
105680.68882200964,47906.5337552524,38444.78444816247,2020-12-30T03:08:30.000000000,2020-12-30T04:08:30.000000000
109351.57361790017,51870.1885604109,37821.71993327033,2020-12-30T04:08:30.000000000,2020-12-30T05:08:30.000000000
112751.16368388027,55697.14773009853,37102.53495260546,2020-12-30T05:08:30.000000000,2020-12-30T06:08:30.000000000
115898.00729444525,59391.57741017218,36298.08380858193,2020-12-30T06:08:30.000000000,2020-12-30T07:08:30.000000000
118808.06980641806,62957.31802426615,35417.55115680602,2020-12-30T07:08:30.000000000,2020-12-30T08:08:30.000000000
121495.19919560944,66397.89232696101,34468.79193850111,2020-12-30T08:08:30.000000000,2020-12-30T09:08:30.000000000
123971.48773269578,69716.52046299267,33458.589557153835,2020-12-30T09:08:30.000000000,2020-12-30T10:08:30.000000000
126247.5589459653,72916.13722454825,32392.855542205252,2020-12-30T10:08:30.000000000,2020-12-30T11:08:30.000000000
128332.78293671415,75999.41503938832,31276.77642472599,2020-12-30T11:08:30.000000000,2020-12-30T12:08:30.000000000
124673.00838985418,74411.07765832082,29727.387999152503,2020-12-30T12:08:30.000000000,2020-12-30T13:08:30.000000000
131963.03611596246,81826.41327342321,28911.461541124332,2020-12-30T13:08:30.000000000,2020-12-30T14:08:30.000000000
133522.06913369952,84574.30539464293,27669.990734902753,2020-12-30T14:08:30.000000000,2020-12-30T15:08:30.000000000
134918.48754167493,87214.23208250827,26393.849667269624,2020-12-30T15:08:30.000000000,2020-12-30T16:08:30.000000000
136157.5998648625,89747.7827916632,25086.04869129431,2020-12-30T16:08:30.000000000,2020-12-30T17:08:30.000000000
137244.17068896076,92176.37258032651,23749.335657746768,2020-12-30T17:08:30.000000000,2020-12-30T18:08:30.000000000
138182.48382230473,94501.25256134947,22386.237856977215,2020-12-30T18:08:30.000000000,2020-12-30T19:08:30.000000000
138976.40119584947,96723.51080462201,20999.08489908083,2020-12-30T19:08:30.000000000,2020-12-30T20:08:30.000000000
